name,total,exact1,transposed1,tonalTransped1,inverted1,augmented1,retrograded1,rotated1,trInverted1,trAugmented1,trRetrograded1,exact08,transposed08,tonalTransped08,inverted08,augmented08,retrograded08,rotated08,trInverted08,trAugmented08,trRetrograded08,exact06,transposed06,tonalTransped06,inverted06,augmented06,retrograded06,rotated06,trInverted06,trAugmented06,trRetrograded06,unclassified
bach2-Ngrams-pattern18,43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.28,0.00,0.00,0.00,0.00,0.00,2.33,0.00,0.00,0.00,58.14
bach2-Ngrams-pattern19,42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,9.52,2.38,0.00,0.00,0.00,0.00,2.38,0.00,2.38,45.24
bach2-Ngrams-pattern20,41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.07,4.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.07,2.44,2.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.10
bach2-Ngrams-pattern21,40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,7.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.00
bach2-Ngrams-pattern22,39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.95,0.00,5.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.85
bach2-Ngrams-pattern23,38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.63,13.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.58,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.37
bach2-Ngrams-pattern24,37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.70,10.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.73,0.00,8.11,0.00,0.00,0.00,2.70,0.00,0.00,0.00,45.95
bach2-Ngrams-pattern25,36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.78,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.56,2.78,2.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.78
bach2-Ngrams-pattern26,35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.86,2.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.57
bach2-Ngrams-pattern27,34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.29,2.94,8.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.06
bach2-Ngrams-pattern28,33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.42,3.03,6.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.45
bach2-Ngrams-pattern29,32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.38,3.12,3.12,0.00,0.00,0.00,9.38,0.00,0.00,0.00,46.88
bach2-Ngrams-pattern30,31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.81,3.23,6.45,0.00,0.00,0.00,6.45,0.00,0.00,0.00,54.84
bach2-Ngrams-pattern31,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.33
